Full File Path,Site Location,Date,Camera
Camera/UGH_19_08_2019_C33_S18.7z,University of Ghana,19_08_2019,C33
Camera/N1West_14_10_2019_C36_S34.7z,N1 West Motorway,14_10_2019,C36
Camera/TMW_10_02_2020_C19_S42.7z,Tema Motorway,10_02_2020,C19
Camera/N1West_24_02_2020_C15_S11.7z,N1 West Motorway,24_02_2020,C15
Camera/Nima_31_01_2020_C2_S31.7z,Nima,31_01_2020,C2
Camera/EL_01_07_2019_C12_S8.7z,East Legon,01_07_2019,C12
Camera/Nima_06_12_2019_C27_S33.7z,Nima,06_12_2019,C27
Camera/EL_14_10_2019_C32_S18.7z,East Legon,14_10_2019,C32
Camera/AD_17_05_2019_C17_S16.7z,Asylum Down,17_05_2019,C17
Camera/EL_21_10_2019_C12_S44.7z,East Legon,21_10_2019,C12
Camera/N1West_01_07_2019_C36_S44.7z,N1 West Motorway,01_07_2019,C36
Camera/Taifa_06_09_2019_C21_S44.7z,Taifa,06_09_2019,C21
Camera/N1West_06_05_2019_C15_S18.7z,N1 West Motorway,06_05_2019,C15
Camera/ASH_16_09_2019_C6_S5.7z,Ashaiman,16_09_2019,C6
Camera/Nima_25_10_2019_C27_S110.7z,Nima,25_10_2019,C27
Camera/Taifa_23_08_2019_C21_S17.7z,Taifa,23_08_2019,C21
Camera/UGH_03_02_2020_C25_S10.7z,University of Ghana,03_02_2020,C25
Camera/JT_21_06_2019_C31_S31.7z,Jamestown,21_06_2019,C31
Camera/TMW_30_12_2019_C30_S30.7z,Tema Motorway,30_12_2019,C30
Camera/Nima_06_03_2020_C27_S10.7z,Nima,06_03_2020,C27
Camera/Nima_23_08_2019_C27_S60.7z,Nima,23_08_2019,C27
Camera/UGH_21_10_2019_C25_S52.7z,University of Ghana,21_10_2019,C25
Camera/AD_26_07_2019_C4_S44.7z,Asylum Down,26_07_2019,C4
Camera/Taifa_31_05_2019_C22_S17.7z,Taifa,31_05_2019,C22
Camera/AD_16_08_2019_C17_S21.7z,Asylum Down,16_08_2019,C17
Camera/JT_06_03_2020_C31_S61.7z,Jamestown,06_03_2020,C31
Camera/Nima_13_12_2019_C27_S49.7z,Nima,13_12_2019,C27
Camera/UGH_11_11_2019_C25_S42.7z,University of Ghana,11_11_2019,C25
Camera/JT_07_06_2019_C31_S45.7z,Jamestown,07_06_2019,C31
Camera/N1West_10_06_2019_C15_S45.7z,N1 West Motorway,10_06_2019,C15
Camera/TF_03_05_2019_C22_S26.7z,Taifa,03_05_2019,C22
Camera/JT_26_04_2019_C11_S05.7z,Jamestown,26_04_2019,C11
Camera/TF_26_04_2019_C21_S35.7z,Taifa,26_04_2019,C21
Camera/AD_15_11_2019_C4_S34.7z,Asylum Down,15_11_2019,C4
Camera/Taifa_10_01_2020_C22_S30.7z,Taifa,10_01_2020,C22
Camera/AD_26_04_2019_C14_S09.7z,Asylum Down,26_04_2019,C14
Camera/ASH_03_06_2019_C6_S31.7z,Ashaiman,03_06_2019,C6
Camera/Taifa_19_07_2019_C21_S36.7z,Taifa,19_07_2019,C21
Camera/AD_06_12_2019_C4_S28.7z,Asylum Down,06_12_2019,C4
Camera/ASH_29_04_2019_C6_S11.7z,Ashaiman,29_04_2019,C6
Camera/LA_05_07_2019_C35_S11.7z,Labadi,05_07_2019,C35
Camera/Nima_22_11_2019_C27_S45.7z,Nima,22_11_2019,C27
Camera/ASH_30_12_2019_C6_S43.7z,Ashaiman,30_12_2019,C6
Camera/AD_14_06_2019_C17_S15.7z,Asylum Down,14_06_2019,C17
Camera/EL_10_06_2019_C8_S8.7z,East Legon,10_06_2019,C8
Camera/EL_15_07_2019_C12_S11.7z,East Legon,15_07_2019,C12
Camera/AD_24_05_2019_C14_S10.7z,Asylum Down,24_05_2019,C14
Camera/EL_26_08_2019_C12_S21.7z,East Legon,26_08_2019,C12
Camera/TF_17_05_2019_C21_S5.7z,Taifa,17_05_2019,C21
Camera/N1West_17_06_2019_C36_S44.7z,N1 West Motorway,17_06_2019,C36
Camera/TMW_01_07_2019_C19_S26.7z,Tema Motorway,01_07_2019,C19
Camera/N1West_29_04_2019_C33_S19.7z,N1 West Motorway,29_04_2019,C33
Camera/N1West_10_06_2019_C36_S44.7z,N1 West Motorway,10_06_2019,C36
Camera/AD_28_06_2019_C4_S18.7z,Asylum Down,28_06_2019,C4
